seq_index,seq_start_row,seq_start_time,recon_error,anomaly_flag
290,4640,2025-07-21 01:51:37.831,0.008685713,0
291,4656,2025-07-21 01:51:47.087,0.008689148,0
292,4672,2025-07-21 01:54:16.796,0.008688683,0
293,4688,2025-07-21 01:54:19.203,0.00869135,0
294,4704,2025-07-21 01:54:26.539,0.008702107,0
295,4720,2025-07-21 01:54:33.849,0.008688844,0
296,4736,2025-07-21 01:56:02.335,0.008679822,0
297,4752,2025-07-21 01:56:04.408,0.008690583,0
298,4768,2025-07-21 01:56:11.245,0.008682242,0
299,4784,2025-07-21 01:56:18.287,0.008681862,0
300,4800,2025-07-21 01:57:23.183,0.008681873,0
301,4816,2025-07-21 01:57:25.602,0.008683124,0
302,4832,2025-07-21 01:57:30.848,0.008683113,0
303,4848,2025-07-21 01:57:36.886,0.008681589,0
304,4864,2025-07-21 01:57:46.422,0.008689148,0
305,4880,2025-07-21 01:57:57.559,0.008683871,0
306,4896,2025-07-21 01:57:59.971,0.008692351,0
307,4912,2025-07-21 01:58:09.008,0.008701865,0
308,4928,2025-07-21 01:58:16.554,0.00869198,0
309,4944,2025-07-21 01:58:28.943,0.008683305,0
310,4960,2025-07-21 01:58:30.853,0.008686706,0
311,4976,2025-07-21 01:58:37.487,0.0086856065,0
312,4992,2025-07-21 01:58:45.821,0.008681876,0
313,5008,2025-07-21 01:59:01.462,0.00868181,0
314,5024,2025-07-21 01:59:03.417,0.008687798,0
315,5040,2025-07-21 01:59:08.950,0.008683513,0
316,5056,2025-07-21 01:59:16.346,0.0086823795,0
317,5072,2025-07-21 01:59:24.401,0.008690321,0
318,5088,2025-07-21 01:59:35.070,0.008683453,0
319,5104,2025-07-21 01:59:40.465,0.008689611,0
320,5120,2025-07-21 01:59:46.679,0.008697812,0
321,5136,2025-07-21 01:59:54.151,0.00869165,0
322,5152,2025-07-21 02:00:06.214,0.008683186,0
323,5168,2025-07-21 02:00:08.712,0.008686824,0
324,5184,2025-07-21 02:00:15.419,0.00868951,0
325,5200,2025-07-21 02:00:23.160,0.00868187,0
326,5216,2025-07-21 02:00:54.897,0.008681656,0
327,5232,2025-07-21 02:00:56.955,0.008690741,0
328,5248,2025-07-21 02:01:02.499,0.008682664,0
329,5264,2025-07-21 02:01:09.952,0.008681474,0
330,5280,2025-07-21 02:01:19.801,0.008685746,0
331,5296,2025-07-21 02:01:29.475,0.0086933235,0
332,5312,2025-07-21 02:01:34.686,0.008699437,0
333,5328,2025-07-21 02:01:40.407,0.008712839,0
334,5344,2025-07-21 02:01:48.092,0.008702839,0
335,5360,2025-07-21 02:03:13.724,0.008679873,0
336,5376,2025-07-21 02:03:16.026,0.008695279,0
